username,text,date
PortalR3.com.br,Mulher sofre assalto sob ameaça de armas de fogo em Pinda https://t.co/DAt9DXwrUl https://t.co/H7BFVnMDuj,2019-05-16 13:23:23 UTC
Grupo Metrópole,Hóspede é baleado durante assalto em flat na região do Iguatemi; vídeo https://t.co/0yp13aOdeg,2019-05-16 13:21:01 UTC
Hoyer Fotos ©,Tentativa de assalto termina com um morto e dois presos na Praça Seca https://t.co/12TuIGCGnJ,2019-05-16 13:19:55 UTC
Adriano Damas,"Verdadeiro assalto!!!
Vai Curintians!!!! https://t.co/94NJbpTYOy",2019-05-16 13:17:56 UTC
Guia Muriaé,PM recupera moto tomada de assalto e registra roubo a mão armada em Tocantins - https://t.co/hnEU66nTH8 #tocantins,2019-05-16 13:17:17 UTC
Ari amaral,"@MiguelNicolelis Ao assalto não kkk a falta de dinheiro para assaltar kkk a cada 100 reais 85 são para pagar salários, onde está o assalto ?",2019-05-16 13:14:35 UTC
complicada&perfeitinha,vo te q meter uns assalto,2019-05-16 13:10:49 UTC
G1 AP,Suspeitos de assalto a residência são presos após abordagem a táxi na Zona Norte de Macapá https://t.co/F8Wacu66S6,2019-05-16 13:08:28 UTC
maria gasolina,@anemiaas_ @Yazawawaw ele LITERALMENTE reagiu a um assalto,2019-05-16 13:06:03 UTC
Paula Gomes,Assalto via máquina de cartão. Eu morro e não vejo tudo nessa vida... https://t.co/xY8q3adEna,2019-05-16 13:01:36 UTC
lucas,Vídeo da notícia do assalto ao carro forte só pq existe https://t.co/maTi3ePjgu,2019-05-16 12:57:37 UTC
Jéssica Kussler🇪🇪,"Hoje faz um ano do assalto do pai.
Que loucura",2019-05-16 12:55:47 UTC
Notícias ao Minuto,"Frases de Berardo na justiça é formalismo, grave foi assalto político https://t.co/yKS0rnTkhS #economiaaominuto",2019-05-16 12:55:02 UTC
Lucas Corrêa,"@faelslim Bola na mão só é pênalti quando é a favor do Crüzeiro. Aí fica fácil ganhar o rural, todo ano um assalto diferente.",2019-05-16 12:50:32 UTC
Informa1,"Hóspede é baleado durante assalto em hotel no Caminho das Árvores, veja vídeo https://t.co/4u41TrRT8O",2019-05-16 12:50:01 UTC
Jornal Floripa,Casal marca encontro para comprar joias e pratica assalto nesta manhã https://t.co/KL6H3h2IFH,2019-05-16 12:49:58 UTC
Jeniffer,"@alanmarquess19 aí eu assalto um banco, não estudo",2019-05-16 12:48:34 UTC
G1 Paraíba,"Idoso reage a assalto e mata suspeito com tiro na cabeça, no Sertão da PB, diz polícia https://t.co/NJryrYts8X",2019-05-16 12:48:29 UTC
"CASTRO, Isabel.","Sobre o assalto: 

https://t.co/Udc0cDfyL2",2019-05-16 12:45:57 UTC
we$ter,"Me dá teu conhecimento mano
Isso é um assalto",2019-05-16 12:43:04 UTC
PortaldoCampoGrande,Criminosos armados fazem família refém durante assalto em Hortolândia https://t.co/cUG2IWJdK8 https://t.co/mHLowLEM7w,2019-05-16 12:42:24 UTC
Thais Meinel,"@lucas_guckert Se eu fosse a Bruna principalmente, eu me mudava. Pqp quanto assalto",2019-05-16 12:41:45 UTC
Portal A Verdade,Homem morre durante tentativa de assalto a empresa em Itatiba -  https://t.co/El4cj8ihE6 https://t.co/nyxkd5D8lh,2019-05-16 12:41:16 UTC
Jersey Almeida,Juliana fica me marcando em várias publicações de assalto próximo de onde moro. Eu não quero sair de casa mais não,2019-05-16 12:39:04 UTC
Leticia ✠,"@maclapontes sério miga, foi tenso. Deve ter tido um assalto, e os caras entraram no shopping",2019-05-16 12:38:32 UTC
tenente josemir,Assalto na loja do Carrefour no Cuiabá https://t.co/bmNqW7ftvY,2019-05-16 12:37:01 UTC
TNOnline,Casal marca encontro para comprar joias e pratica assalto nesta manhã  https://t.co/OYjlvjtvHM https://t.co/GBUToVVTCr,2019-05-16 12:34:27 UTC
TAZz,chego assalto desarrumo e bazo,2019-05-16 12:31:56 UTC
Sistema MPA,Padaria é alvo de assalto https://t.co/zcpfUspyg5,2019-05-16 12:29:41 UTC
Portal Visão Piauí,Polícia identifica autor de assalto em escola e que atirou próximo a um posto de combustível https://t.co/NkvtOTjy3i,2019-05-16 12:29:19 UTC
Portal Visão Piauí,Autor do assalto a escola agrotécnica em Barras é identificado pela Polícia Militar https://t.co/YYN1jICGUd,2019-05-16 12:29:19 UTC
Kaboomga Videos,Assalto a banco em Fraiburgo https://t.co/fxMQF8C33j https://t.co/RxBKt3mhMY,2019-05-16 12:27:10 UTC
Portal Visão Piauí,PM atira em suspeito e impede assalto a idosa em Teresina https://t.co/qWHRlwatnx,2019-05-16 12:24:16 UTC
