username,text,date,
Rádio Liberdade de Caruaru,Suspeito de cometer assalto é preso em Caruaru com arma e carro roubado - https://t.co/dPREOgHENi https://t.co/SNnRT240qk,2019-05-15 09:44:26 UTC,
Rádio Metrópole,Mais notas de dinheiro provenientes do assalto em Porto Xavier são encontradas - https://t.co/iJgPGJ7l74,2019-05-15 08:45:03 UTC,
CAOS no RIO,🗞 Imagens mostram radialista baleado durante assalto em ônibus no Rio https://t.co/43EsAdUhQJ,2019-05-15 07:05:41 UTC,
CAOS no RIO,🗞 Homem é baleado em tentativa de assalto na linha Amarela (RJ) https://t.co/DEiHrnwQnP,2019-05-15 07:05:39 UTC,
DiárioSM,Proprietário de agropecuária é agredido durante assalto em Cacequi https://t.co/85MnbSZTpj https://t.co/xDSrowCUbR,2019-05-15 06:23:29 UTC,
Blog do Edson Alves,BLOG DO EDSON ALVES | A Sua Rede de Notícias: SUSPEITOS DE ASSALTO A BANCO NA BAHIA SÃO ACHADOS ... https://t.co/P62nMk0k5S,2019-05-15 06:12:04 UTC,
Cada Minuto AL,Suspeito de amarrar e despir mulher durante assalto é preso em Delmiro Gouveia #cadaminuto https://t.co/qLNUB1niQH,2019-05-15 03:15:13 UTC,
Laecio Vieira dois Santos,BERIMBAU: Comerciante é sequestrado e tem veículo carregado de mercadorias tomado em assalto https://t.co/1YTChe5H2T,2019-05-15 02:32:33 UTC,
Fabricio,Ciclista morre após reagir a assalto em ponte de Vitória https://t.co/bD9kKC390H,2019-05-15 01:52:38 UTC,
paraibaonline,Bandidos fazem assalto em loja de material de construção em Campina Grande https://t.co/lmkKmayQy7 https://t.co/JbB1vfc8Oj,2019-05-15 01:47:53 UTC,
Segurança Maranhão,Rotam em ação prende suspeitos de praticar assalto contra motorista de aplicativo https://t.co/UYthGd9UsH https://t.co/I4XfuGvjGT,2019-05-15 01:25:03 UTC,
Robson,"Tentativa de assalto no metrô Bresser, pq a estação fecha os portões às 22 horas?",2019-05-15 01:17:23 UTC,
Leo Leite,@nolasqueira meteram o assalto na van do sbt,2019-05-15 01:09:27 UTC,
francys,"Vídeo registra assalto à pizzaria no bairro da Cremação, em Belém. Assista! https://t.co/jIrKUMsCKx https://t.co/FN86qEyLBE",2019-05-15 00:42:04 UTC,
PAN Alagoinhas News,Passageiros de ônibus coletivo vivem momentos de pânico durante assalto em #Alagoinhas… https://t.co/m9RFaY7VLM,2019-05-15 00:35:13 UTC,
seligachapada,Grupo que manteve reféns em tentativa de assalto a banco em Barreiras é localizado https://t.co/dJApn8hmFD,2019-05-15 00:32:55 UTC,
Gilberto Lima,Blog do Gilberto Lima: Motorista de Uber é baleado após reagir a assalto ... https://t.co/UNZ29NMPwq,2019-05-15 00:14:12 UTC,
Informativo em Foco,Mulheres são vítimas de tentativa de assalto em João Pessoa https://t.co/1MOfw6eW3C,2019-05-14 23:38:36 UTC,
João Vitor Martins,@GSquassoni Só sei q houve um assalto no anglo,2019-05-14 23:35:48 UTC,
Caio mlk maravilhoso,"@MarcosKleine assalto, roubos de celulares, tiroteio, viado mijando na cara do outro, elenão...",2019-05-14 23:35:28 UTC,
Diamante,"Uma menina mulher
Que não anda de salto
Sou seu cavaleiro desde pequeno
Por você planejava assalto",2019-05-14 23:32:50 UTC,
Arrascaeta,"Maior pena dela, está assustada até agora com o assalto",2019-05-14 23:31:35 UTC,
Química em formação,@bruubs_vieira_ Já achei q era assalto 😂😂,2019-05-14 23:30:35 UTC,
Gêmea Má 😈🔞♌,É linda mas é a cara do assalto https://t.co/nTzs1MWRBa,2019-05-14 23:28:30 UTC,
iaiDeza,@vitspfc @msuelen_ depois do assalto,2019-05-14 23:28:21 UTC,
caos,Que assalto em senhora Anarquia,2019-05-14 23:25:08 UTC,
snowbaz,@exintenso O ASSALTO KKKKKK,2019-05-14 23:20:53 UTC,
Daniel,@CrissPaiva Assalto a banco também,2019-05-14 23:20:14 UTC,
@marilda_miareli,"@revistacampinas @jandira_feghali Os últimos 24 anos, incluindo FHC, por acaso foi governo ou assalto ?",2019-05-14 23:19:49 UTC,
Hélio França,Frentista reage a assalto e dispara jato de combustível em assaltante, veja vídeo https://t.co/XFXYT46S5A,2019-05-14 23:19:15 UTC
tHe doPe dealer,tomei de assalto o fone da otaria,2019-05-14 23:18:18 UTC,
Sofialopes,Isto n é um acordo é um assalto! https://t.co/ka10LUU6LU,2019-05-14 23:18:08 UTC,
Jana 🌼,Todo dia é assalto nessa porra desse lugar,2019-05-14 23:17:04 UTC,
Valéria A Pereira,@jose_neumanne @marcelohv Aumento anual da carga tributária. Verdadeiro assalto.,2019-05-14 23:16:37 UTC,
já fé sem fé,5- talvez eu esteja meio traumatizado por causa do assalto...,2019-05-14 23:14:54 UTC,
Max Bezerra,Operário e bandido morrem durante assalto na região Oeste potiguar https://t.co/gUMpYRTF4n https://t.co/yVI930HJfU,2019-05-14 23:13:49 UTC,
thau🍉,"aí veio você, me fez enlouquecer
você não sabe, mas levou meu coração de assalto..❤",2019-05-14 23:12:07 UTC,
Luizão,@24Chicao Bro a galera vai no park shops pra puxar um assalto verbal,2019-05-14 23:11:27 UTC,
Cada Minuto AL,Suspeito de amarrar e despir mulher durante assalto é preso em Delmiro Gouveia #cadaminuto https://t.co/B7oAEeWv78,2019-05-14 23:10:39 UTC,
RalphGol,"@GabrielFacinii @joaoguellner Eu que buzinei passando de moto em jp por vc, próxima vez te assalto, ande mais esperto",2019-05-14 23:08:23 UTC,
natralha 😛,"ai veio você, me fez enlouquecer, você não sabe mas levou meu coração de assalto",2019-05-14 23:07:05 UTC,
dixie,@Prefeitura_Rio @GMRio coibir assassinato e assalto que é bom né kakakaka bando de LIXO,2019-05-14 23:05:08 UTC,
¡Izadorinha!,passa o contato — isto é um assalto https://t.co/5oxNleO4JT,2019-05-14 23:01:03 UTC,
Sao_Mateus_News,Ciclista é morto apos reagir a assalto em Vitoria ES https://t.co/nCGAG0cAZf,2019-05-14 23:00:25 UTC,
Alessandro Rosa,"@Estadao Que bom, menos bandido na rua, menos assalto e menos morte de gente inocente",2019-05-14 22:51:57 UTC,
ketelyn,"E eu que quase presenciei um assalto na Subway...
Ainda bem que não aconteceu nada ufaaa.",2019-05-14 22:50:08 UTC,
Bia Marques 🍄,aquele medo da baoba ser só assalto,2019-05-14 22:49:50 UTC,
Vinicius.,"@SorSanches maluco, rio de janeiro é um assalto",2019-05-14 22:49:25 UTC,
Uhtred Ragnarson,"@RenanSantosMBL O que esperar de um ladrão, um assalto é claro. https://t.co/7AiDC5FlZM",2019-05-14 22:49:12 UTC,
G-CRIS,bar do meu pai é um puta assalto nmrl kkkk,2019-05-14 22:49:04 UTC,
ROBIRICO,Avançaria 11 se n fosse aquele assalto de 2013 https://t.co/KsoOyJ8Dln,2019-05-14 22:48:34 UTC,
Paulina 💕,"No meio do busão twitando, o assalto vem",2019-05-14 22:48:22 UTC,
Gesonel 🐓,"Mais um assalto, tá virando moda",2019-05-14 22:45:07 UTC,
Louis,"@PetuliaNadin ""filósofa petista a favor de assalto"" 

Parece verdadeiro Jair, muito verdadeiro",2019-05-14 22:44:09 UTC,
se hidrate e procure um tratamento,Escapei fedendo de um assalto quase agora há pouco,2019-05-14 22:42:30 UTC,
William Machado 👻,"Sábado vou no centro, tomara que o assalto não cante kkkkk, porque baa",2019-05-14 22:39:09 UTC,
Caloteiro Da Dívida Histórica,@lelispatricia @marciatiburi Até Pq Tem Uma Lógica No Assalto. SE VC PENSAR PELO LADO DA INVERSÃO.,2019-05-14 22:38:08 UTC,
Brasil Urgente,Comerciante é morto por bandidos durante assalto. #BandJornalismo https://t.co/ArNUU4rsoK,2019-05-14 22:35:40 UTC,
Marcone #TimBeta Sdv,"'Ele falava que se invadisse, ia matar todo mundo', diz refém de tentativa de assalto a banco https://t.co/wSo1KMABk7",2019-05-14 22:34:33 UTC,
hyo jin,@KimAhn_ Fiquei com medo de vc me empurrar achando que era um assalto - brinca rindo - a gnt pode estar aqui?,2019-05-14 22:34:13 UTC,
De tiro ao Alvaro,@Pdrks_ Acredite no seu potencial reaja a um assalto 👍,2019-05-14 22:33:02 UTC,
jamis,"""Saiu quatro caras do carro, tudo uns pretinho (tinha que ser hahaha)""

professor contando sobre um assalto...",2019-05-14 22:31:52 UTC,
Hugo Rodrigues,Caralho assalto na entrada de mgb irmão que isso!!!!????? 😨😨😨,2019-05-14 22:28:31 UTC,
G1 Sul de Minas,"'Ele falava que se invadisse, ia matar todo mundo', diz refém de tentativa de assalto a banco https://t.co/UgPmly8lT2",2019-05-14 22:24:14 UTC,
sinceramente,@ljosuedias tomar agência parece que é um assalto ou invasão numa agência bancária.,2019-05-14 22:20:59 UTC,
ôpretaa,"Nunca vou no centro em terça a tarde e quando eu vou, presencio um assalto a mão armada e só posso fechar os olhos e fingir que não vi nada",2019-05-14 22:19:54 UTC,
Ana Gabriela,Levou meu coração de assalto,2019-05-14 22:18:33 UTC,
Portal SBN,Ciclista reage a tentativa de assalto e é morto a tiros na Ponte Florentino Ávidos https://t.co/0KpNxog8wz via @,2019-05-14 22:12:13 UTC,
CBN Vitória,"Ciclista morre após reagir a assalto enquanto passava pela Cinco Pontes, que liga a Ilha do Príncipe a São Torquato. https://t.co/Z7SI3Wnmfl",2019-05-14 22:11:55 UTC,
l,"Fui para faculdade morrendo de medo por causa do que aconteceu semana passada e adivinha

Teve tentativa de assalto no ônibus que eu tava",2019-05-14 22:11:12 UTC,
renata,Assalto com arma de fogo na parada que eu tava chegando meu,2019-05-14 22:07:11 UTC,
julhota,episódios do dia do assalto tudo pra mim a cada temporada fica mais genial,2019-05-14 22:04:59 UTC,
F5 News,Marido de mulher morta em suposto assalto é preso em Aracaju https://t.co/WbHEf5bJSj,2019-05-14 22:04:34 UTC,
Laurinha,agora com o BRT divido entre meninos e meninas as meninas precisam escolher: assalto ou assédio?,2019-05-14 22:04:17 UTC,
Gazeta Online,Ciclista morre após reagir a assalto em ponte de Vitória ➡️ https://t.co/oKSGg2ky4Z https://t.co/tA1v97iJDH,2019-05-14 22:01:38 UTC,
Teixeira:3,@beapmoreira Queres que faça um assalto?,2019-05-14 21:59:33 UTC,
nat,Tô numa fase que fds se nego vim com pistola eu reajo ao assalto,2019-05-14 21:55:51 UTC,
AFR,"Politicamente, o xuxó-socretinismo esteve de coxas escancaradas para o assalto á banca! É assim q Berardos são paridos! #ooutrolado",2019-05-14 21:54:33 UTC,
Ivo Ferreira,"@CarlaZambelli17 Como assim? 
Eles dizem que são a favor do assalto, por isso que eles berram dizendo que luladrão é inocente.",2019-05-14 21:49:39 UTC,
Lebasi,"isso é tão óbvio que tô com vontade de apagar, mas já que as madames querem tomar lugar de fala no assalto, deixei aí",2019-05-14 21:49:23 UTC,
Julio Ceczar,Ué? Não devia.... kkkkkkkkkkkk https://t.co/Rszibkr8lc,2019-05-14 21:48:47 UTC,
fanni,"eu poderia escrever um livro sobre como a minha vida mudou dps do assalto/golpe que eu sofri 
surreal",2019-05-14 21:48:05 UTC,
Vinicius Schelck,assalto virtual,2019-05-14 21:47:32 UTC,
nanda ‎frança,"e meu pai que reagiu a um assalto metendo a porrada nos mlqs e ta todo fudido, puta q pariu",2019-05-14 21:45:54 UTC,
🌻,"Você não sabe mas, levou meu coração de assalto😍🎶",2019-05-14 21:44:20 UTC,
Thomaiz TL 🇨🇴🔴⚫,@diogodantas Assalto,2019-05-14 21:42:24 UTC,
andrei 🐺,sem contar que a capinha ja foi um assalto sofro,2019-05-14 21:41:03 UTC,
G1 Sergipe,Companheiro de mulher morta durante suposto assalto é preso suspeito de ser mandante do crime https://t.co/OBXBBIz0xK,2019-05-14 21:40:08 UTC,
Rafael Vom Stein,Ótimo dia para reagir a um assalto e tomar um tiro,2019-05-14 21:38:46 UTC,
call me tree🌳,Eu escondi o celular pensando em assalto. https://t.co/3YL4xoHNWs,2019-05-14 21:38:17 UTC,
G1 Sergipe,Companheiro de mulher morta durante assalto é preso suspeito de ser mandante do crime https://t.co/OBXBBIz0xK,2019-05-14 21:38:08 UTC,
Humberto Carvalho,Até quando??? Todo dia tem assalto e nada é feito!!! Absurdo!!!  @Delegacia_Legal @aTribunaES @g1es @GovernoES https://t.co/yKPOmlFo7a,2019-05-14 21:37:48 UTC,
Tribuna Online,"POLÍCIA

A bicicleta da vítima também foi levada. https://t.co/6Be30TwaKK",2019-05-14 21:37:06 UTC,
#WE,o jake usando o assalto de halloween pra pedir a amy em casamento caralho,2019-05-14 21:37:02 UTC,
laurinha,amo um ep de halloween no caso o assalto q tem toda vez pq esse n foi no dia,2019-05-14 21:30:34 UTC,
Pedro Alves ⚘,@Andrefelipe991 Acho que merece um assalto a mão armada,2019-05-14 21:30:33 UTC,
humilhada,@Luannakarolinec Segurança mediana kkkkkkkk é dar boa noite antes de anunciar o assalto??,2019-05-14 21:28:35 UTC,
Marcelo,"@marcelopimentaf Ola, o assalto não foi no Atacadão de N.Iguaçu, foi em Cuiaba.
https://t.co/o9LIgWdWfC",2019-05-14 21:28:11 UTC,
🌊,"yeah, mão pro alto, já tava te vendo
é um assalto, olha minha draco",2019-05-14 21:24:39 UTC,
Leco,"Namoral tem q andar armado aqui em Cosmos, não tá dando muito assalto.",2019-05-14 21:22:04 UTC,
Bruna Leticia,"Tá todo mundo na parada e a pessoa não para de falar assalto, essa pessoa... Não sejam esse tipo de pessoa",2019-05-14 21:21:56 UTC,
"[...]Atire em mim, Roland, antes que eu procrie.","@brounao Confie no seu potencial, reaja a um assalto!",2019-05-14 21:21:41 UTC,
//,14 reais um açaí de 350 ml é um assalto mané,2019-05-14 21:19:34 UTC,
a,@gilbalinha assalto ✅,2019-05-14 21:17:39 UTC,
i,Reagir violentamente a um assalto é um salto quântico para uma dimensão mais justa.,2019-05-14 21:16:04 UTC,
informazione sport,"Roma, assalto Tottenham a Zaniolo: le cifre https://t.co/ef1W6zcbJL",2019-05-14 21:15:42 UTC,
Marcos Andrade @olhar juridico,Polícia suspeita que ordem para o assalto ao carro-forte partiu de detentos da PCE - Noticia https://t.co/5VqR1oB9PP,2019-05-14 21:15:21 UTC,
valim,@NicollyLindsey o dia do assalto,2019-05-14 21:15:18 UTC,
Andressa Pivato,@ilukeyou Compre outro se tu pode e fique com um extra de assalto kkkkk (eu tinha um de assalto quando fazia facul),2019-05-14 21:10:34 UTC,
Rio News Now,Condomínio no Leblon divulga lista com dicas para moradores evitarem assalto https://t.co/9OAE8KUsRk https://t.co/rcIt8CPh4o,2019-05-14 21:07:33 UTC,
LuanJr Meu Pirulito,Haudhsubsuv https://t.co/WC1rJpOluv,2019-05-14 21:06:41 UTC,
۞ ҈ ϟ TeffyLuvBTS ۞ ҈ ϟ,"O auge de hj, foi macho falar que a música Man Down da rainha Rihanna era sobre assalto, pqp",2019-05-14 21:01:53 UTC,
Rosinha🥀,@manobazacrlh E só fazeres um assalto 😂 https://t.co/MPkcgROcvS,2019-05-14 20:59:42 UTC,
Samuel Rodrigues,Tanto que ela foi assaltada a poucos dias e saiu do Brasil por causa do assalto https://t.co/lirTsLV2T4,2019-05-14 20:59:13 UTC,
Alfenas Hoje,Assaltante que fez reféns em tentativa assalto a banco é morador de Alfenas https://t.co/Xl4EecyFSh,2019-05-14 20:56:17 UTC,
Neres Neres,"Que adrenalina doida q eu passei com a Jana agr , o assalto ia ser na alta",2019-05-14 20:45:59 UTC,
Hugo,"Assalto em Vila do Conde

O ÁRBITRO HUGO MIGUEL https://t.co/9eXQKnyfHJ",2019-05-14 20:45:26 UTC,
Hugo,"Assalto em Vila do Conde

O PENALTI QUE FICOU POR ASSINALAR https://t.co/W6AUIW56tS",2019-05-14 20:45:24 UTC,
Hugo,"Assalto em Vila do Conde

INCOMPETÊNCIA DA EQUIPA DE ARBITRAGEM

FALTA DE CONHECIMENTO DAS REGRAS BÁSICAS https://t.co/R9VPD001tl",2019-05-14 20:45:23 UTC,
Hugo,"Assalto em Vila do Conde

O GOLO EM FORA-DE-JOGO https://t.co/W500Mi70Nv",2019-05-14 20:45:21 UTC,
Hugo,"Assalto em Vila do Conde

INTRODUÇÃO https://t.co/WJ5r3Ow3TC",2019-05-14 20:45:21 UTC,
Marcos Sá,@flaviofachel Quem manda ele tentar agredir o vigilante. Poderia ser um assalto. O vigilante mandou bem!,2019-05-14 20:45:09 UTC,
paula,@vectorferreira isso é um assalto passa a receita,2019-05-14 20:45:07 UTC,
🐊,"genteeee a menina me cobrou 70,00 pra fazer uma tatuagem pequena de coração, o assalto",2019-05-14 20:43:22 UTC,
Gaby🌙,"E hoje no banco o cara chegou do nada e gritou: BOM DIA, ISTO NAO É UM ASSALTO!",2019-05-14 20:39:47 UTC,
O Globo_Rio,"Condomínio no Leblon divulga lista com dicas para moradores evitarem assalto

 https://t.co/UnrgMsmEM6",2019-05-14 20:38:15 UTC,
xale aguia,Isto é um assalto B–a arte de bem manipular em OCS de um grupo que deve mais quinhentos milhoes milhoes aos bancos,2019-05-14 20:38:13 UTC,
Boa vibe,@niltoncm_trx Assalto em Luanda,2019-05-14 20:36:58 UTC,
HiperNotícias,"A informação foi confirmada pelo delegado titular da unidade policial, Flávio Stringueta.

#HiperNotícias #hnt https://t.co/Vwlc0IgfMY",2019-05-14 20:29:50 UTC,
Arimatea Souza,Mulheres são vítimas de tentativa de assalto em João Pessoa  https://t.co/dZWyh0bK8U,2019-05-14 20:21:51 UTC,
rei,@ygon_ pois é mano kkkkkk aqui é um assalto,2019-05-14 20:21:20 UTC,
R҈ A҈ Y҈ S҈ S҈ A҈,A cara do assalto essa bolsa https://t.co/wrhO4p9UIu,2019-05-14 20:20:42 UTC,
Fabrício S.📌,"Q guria loka meo ""É o assalto ""😅😅😅😅",2019-05-14 20:19:32 UTC,
paraibaonline,Mulheres são vítimas de tentativa de assalto em João Pessoa https://t.co/tCdQATuGpM https://t.co/tkjMNHKcI6,2019-05-14 20:16:25 UTC,
Luíza,@jeffinho_21 Olha o assalto kkkkkkk,2019-05-14 20:01:57 UTC,
Jaime,@EITA_FITNESS Na minha cidade a última tentativa de assalto a banco completou 28 anos. Todos os bandidos mortos. Oito no total.,2019-05-14 19:59:17 UTC,
La Bella 💫,Passou dois garotos por mim de moto aqui na nova São Pedro duas vezes aí q medo d assalto,2019-05-14 19:59:03 UTC,
Membro do fan clube do André,"@rafaelsn @diego_giroldi Arquivado pela torcida de vocês, nasceram de um assalto",2019-05-14 19:55:21 UTC,
GEANNE LOBACK 🌸,"Eu moro Atrás do batalhão do Méier, rua cheia de segurança, tem um assalto e ngm ver, como pode? 😥🤦🏻",2019-05-14 19:55:04 UTC,
F L 3 X I N 🖤,@trovadorismos O menino vira um cusao e quase morre em um assalto bjs,2019-05-14 19:54:18 UTC,
Bilú🔥,"Largo do bicão hj tá quente, já teve assalto e acidente.",2019-05-14 19:52:51 UTC,
GYrombinha,"Quer dar esculacho em quem fuma maconha mas quando o assunto é assalto, estupro, assédio, feminicídio etc é todo mundo cego",2019-05-14 19:48:37 UTC,
el rodrigo 💔,assalto bem sucedido na casa do koreano 🤑,2019-05-14 19:46:28 UTC,
bioquímica é uma desgraça,"@andrecpaulo Porra PA, tomou minha tv de assalto, tá em todos os canais kkk",2019-05-14 19:43:54 UTC,
Malinas,@lelispatricia @jairbolsonaro @marciatiburi A FAVOR DO ASSALTO,2019-05-14 19:42:59 UTC,
Angel🥶,A cara do assalto https://t.co/PQQuMtUfSP,2019-05-14 19:41:46 UTC,
Cássio Alessandro,"@VEJA Eles estão certos, vocês queriam que eles fizessem elogios aos bandidos se obtivessem êxito no assalto ?",2019-05-14 19:40:25 UTC,
João Emanuel,@LucasJesus_018 esse trem ramal Gramacho fede a assalto,2019-05-14 19:38:15 UTC,
"Joca Joestar, O Menino Pomposo",Pratiquei o assalto ao @jafonso_joestar https://t.co/jf1hdfLzVo,2019-05-14 19:38:03 UTC,
Renan Martins,"Realengo tá um nojo de assalto, q isso",2019-05-14 19:36:12 UTC,
mf,eh serio quase smp tem assalto lá,2019-05-14 19:35:46 UTC,
G1 Pernambuco,Cafeteria é roubada duas vezes em um mês no Recife, veja vídeo do segundo assalto https://t.co/Zeh3aaHyfk,2019-05-14 19:34:32 UTC
Jornal da Mídia,Polícia prende terceiro envolvido em assalto a ônibus na Linha Verde https://t.co/Wvn7tIDr3L https://t.co/STDTmCtS44,2019-05-14 19:33:59 UTC,
Gabriel Nogueira,"Jurei ficar com ela e com mais ninguém aí veio você... me fez enlouquecer, você não sabe mas tomou meu coração de assalto...",2019-05-14 19:31:49 UTC,
EdUaRdO,"Marmelada, assalto sem resolver, acha que esses caras e idiotas o bastante a ponto de entregar o ouro. https://t.co/7P2FS2hd6r",2019-05-14 19:31:20 UTC,
vetoria,@srtaeseusafins @evxcrf Assalto é pouco,2019-05-14 19:29:45 UTC,
Tas na lua 😎,@Disidr0 @Joao__Gamboa Qnd passarem na nossa sala menos barulho parecia um assalto crl🆘,2019-05-14 19:25:47 UTC,
marmo,"@karlipsuk agora acho que vai ser diferente, até pelo assalto que foi lá",2019-05-14 19:25:13 UTC,
sansa stark,@evxcrf @vascotaria Gente olha o preço do carlton kkkkk q assalto,2019-05-14 19:25:10 UTC,
Andressa Rodrigues,"@karinetito Lagartixa, sapo, escuro, assalto/violência, passar por dificuldades financeiras e outro que não mencionarei rs",2019-05-14 19:21:37 UTC,
🆑 Célio Lobo⭐,"@BelemNoticiass O povo pode até não saber de tudo, mas todos sabem que 02 homens numa moto é assalto.😂😂😂 https://t.co/4M82AbnW18",2019-05-14 19:16:37 UTC,
Fábio Lima🐷,@brunomassa Kkkkk na epoca da parmalt todo ano contra o boca era só assalto,2019-05-14 19:12:50 UTC,
O Imparcial,Suspeitos de assalto a Uber são presos na Cidade Operária https://t.co/FizExIJFpg,2019-05-14 19:12:08 UTC,
🧜🏻‍♀️,"teve assalto aqui no centro, o cu chega fecha",2019-05-14 19:10:38 UTC,
florzinha,"Jurei ficar com ela e com mais ninguém, aí veio você, me fez enlouquecer, você não sabe, mas levou meu coração de assalto",2019-05-14 19:08:43 UTC,
SUᕈERMERCΔDO ᕈΔU DE ΔÇÚCΔR,"@anab_leao sim, pra quem vai comprar estudante de boas, mas inteira é um assalto 600 pila é preço de festival kkkkk",2019-05-14 19:08:41 UTC,
Jornal Folha do Progresso,Frentista dispara jato de gasolina em ladrão durante assalto a posto https://t.co/djONWpSI1R via @NpJornal,2019-05-14 19:08:05 UTC,
Me!,Outro assalto no Umuarama que inferno não tá dando vei vou andar com canivete aqui https://t.co/26bSZ4MW85,2019-05-14 19:05:27 UTC,
🌊cinha,"Tenho uma,fico com um medo de andar com ela,a cara do assalto kkkkkkkkkkkkk https://t.co/GCdnhrhEuX",2019-05-14 19:03:07 UTC,
SUÍNÃO™,"Isso não é ""VIRADA CULTURAL isso é o já tradicional ""ASSALTO CULTURAL"" https://t.co/YTIjhffXQa",2019-05-14 19:02:32 UTC,
Tribuna do Sertão,Operação localiza trio que participou do assalto a banco em Barreiras https://t.co/ugZ9RfQa58,2019-05-14 19:00:57 UTC,
daenerys targaryen nunca errou,@zaynpologetic kkkkk eu tenho pavor pq as atrações nao curto e tem muito assalto morro de medo,2019-05-14 18:59:21 UTC,
Crazy,@mamaefalei Isso é um assalto !,2019-05-14 18:57:09 UTC,
Adilson Fabossi,"@CarlosBolsonaro Mande ele colocar a farda da PM e encarar os bandidos num assalto.
Quero ver ele voltar e dar entrevista.",2019-05-14 18:55:35 UTC,
busy B,Duas vezes que eu fui na ótica o caixa achou q era assalto https://t.co/eyCgHKAIsM,2019-05-14 18:54:15 UTC,
claudiopaguiar,Notícias: Três suspeitos de assalto a banco na BA são achado... https://t.co/KdIFo4qixC,2019-05-14 18:53:21 UTC,
Ibiapaba 24 Horas,IBIAPABA 24 HORAS: HOMEM É PRESO PELA PM APÓS REALIZAR ASSALTO NO CENTRO DE UBAJARA: https://t.co/EXSa0QfPQR,2019-05-14 18:51:13 UTC,
Isabella Munhoes,E eu q agora vou ter q escolher entre a minha tão esperada bichectomia e um celular novo (meu ficou tudo destroçado pós assalto),2019-05-14 18:50:03 UTC,
Dedeza,voltou a ter assalto na Pereira que ódio,2019-05-14 18:49:12 UTC,
𝒷𝒶𝒷𝒾 D-10,"@YungKobori imagina eu kkkkkkkkkkk
ainda falei que o assalto foi na frente da praça e nao num lugar tri vazio e nada ve",2019-05-14 18:47:10 UTC,
_Um_Ser_Aleatorio_s2_,"@Alexsan48939682 @Brasil_Fortnite Sinto em lhe dizer, mas não é uma escopeta e sim um rifle de assalto tatico",2019-05-14 18:41:46 UTC,
Caio,@Brasil_Fortnite É o rifle de assalto tático tá falando no feed de notícias do jogo n é pump nenhuma n (infelizmente),2019-05-14 18:38:02 UTC,
🇯🇲 zᵤₗₗᵤ₂₂ 🇯🇲,"Tô planejando fica rico esse ano, vou fazer um assalto a banco  pra minha vida melhora.!🎶🤔",2019-05-14 18:37:51 UTC,
News Rondônia - Notícias,ASSALTO ATACADÃO: MOTORISTA DIZ QUE VIGILANTE MENTIU E GCCO PEDE QUEBRA DE SIGILO - News Rondonia https://t.co/xxho8JZAUr,2019-05-14 18:36:41 UTC,
Jã1,"@yushuu Isso é um assalto, passa a carteira",2019-05-14 18:31:55 UTC,
Maranhão Notícia,ROTAM EM AÇÃO PRENDE SUSPEITOS DE PRATICAR ASSALTO EM UBER https://t.co/kgw2inEgn1 https://t.co/lMONypPO7L,2019-05-14 18:31:25 UTC,
M.L.Hornos,"Deu sorte!! 

Frentista Reage A Assalto E Dispara Jato De Combustível Em Assaltante; Veja Vídeo https://t.co/w5OP7Y0Thp",2019-05-14 18:22:28 UTC,
Flavia  coimbra,Nem na expõem da cidade da tanto público quanto deu no assalto ao banco,2019-05-14 18:19:55 UTC,
cainho,"@BreezyOfNicki nossa menino simmm, 2016 foi só assalto... por deus",2019-05-14 18:19:28 UTC,
Renato da Sommexe,Idosa de 81 anos morre após ser espancada durante assalto https://t.co/EpBrvkHayw,2019-05-14 18:18:32 UTC,
CAOS no RIO,🗞 Assalto no Leblon gera perseguição e tiros na zona sul do Rio https://t.co/B8zAKhPS4L,2019-05-14 18:15:32 UTC,
mello 🇾🇪,Eai gata bora fazer um assalto?,2019-05-14 18:13:35 UTC,
Gonzalez,@gleisi Quando ele irá pedir perdão ao Brasil pelo assalto que ele cometeu? Pelas crianças que morreram nas filas dos hospitais?,2019-05-14 18:13:08 UTC,
maryanne,so esse assalto hoje mesmo :(,2019-05-14 18:09:15 UTC,
Marcele Barros,@HaddadDebochado Aula de como se proteger de um assalto.... ui... https://t.co/IQgRxXJqrA,2019-05-14 18:03:52 UTC,
Taulle,@nataxareis Mas tem assalto,2019-05-14 17:59:22 UTC,
matheus,Hoje é dia de assalto então vou roubar o hype pra mim,2019-05-14 17:56:44 UTC,
Dioguin,"Acabei de me livrar de um assalto na linha amarela

Deus abençoe o Uno",2019-05-14 17:56:08 UTC,
keeping up with the suelen,"@escorpiane_ nunca vi assalto nenhum em igarassu more, esses eventos só acontecem na várzea e olinda",2019-05-14 17:54:21 UTC,
Blog Louro Magalhães,Policia detalha operação que resultou em  três suspeitos de assalto a banco  mortos em tiroteio  https://t.co/Lql54r7DF3,2019-05-14 17:53:56 UTC,
Blog Louro Magalhães,Policia detalha operação que resultou em  três suspeitos de assalto a banco  mortos em tiroteio  https://t.co/NyPhESbEdE,2019-05-14 17:53:01 UTC,
Bá Alves,"@lifraanco Além disso o pessoal tava falando da quantidade de assalto que tem em super lotação de barracas, queria tbm mas não vai rolar!",2019-05-14 17:51:50 UTC,
ℳ Clemente,@Joaodiniz_69 @fuckedfeel Mais uma vez Clemente salvando a turma de assalto 🤧🏆,2019-05-14 17:50:57 UTC,
kevin malvadeza 🐺,vc eh mt linda quer fazer um assalto,2019-05-14 17:50:30 UTC,
