username,text,date,
Tardelli Pires,Soldado da PM é baleado durante tentativa de assalto e mata suspeito https://t.co/RUAV7pMhAy https://t.co/sWEYo8DskQ,2019-05-16 11:59:41 UTC,
Tardelli Pires,"Idoso reage a assalto e mata um assaltante, no Sertão da Paraíba https://t.co/lcBfANltKE https://t.co/p1ak9gbyaa",2019-05-16 11:59:37 UTC,
REPORTERPB,Homem reage a assalto e mata bandido em Cajazeiras, Comparsa foi preso em ação rápida da PM... https://t.co/QqlHVg1T7e,2019-05-16 11:56:29 UTC
G1 Bahia,Hóspede é baleado em saguão de flat durante assalto em Salvador https://t.co/nkjoWbMn5G,2019-05-16 11:56:23 UTC,
Pereira Jr.,Homem reage a assalto e mata bandido em Cajazeiras, Comparsa foi preso em ação rápida da PM... https://t.co/ajLUotuSia,2019-05-16 11:56:22 UTC
Portal Engeplus,"Família é rendida e ameaçada durante assalto a residência em Criciúma

https://t.co/2MjuvUDwo6",2019-05-16 11:55:00 UTC,
G1 Campinas,Criminosos armados fazem família refém durante assalto em Hortolândia https://t.co/l8irYFZIrO,2019-05-16 11:54:10 UTC,
paraibaurgente1,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa - https://t.co/6vH79yV4e4 https://t.co/3mQvuIcimM,2019-05-16 11:49:15 UTC,
CidadeVerde.com,PM atira em suspeito e impede assalto a idosa em Teresina #cidadeverde https://t.co/NhMc0yxW04,2019-05-16 11:41:22 UTC,
Jornal A Tribuna,Irmãos imobilizam bandido que ameaçou os pais em assalto em Peruíbe https://t.co/lhvOwTf30N https://t.co/NiXyHkTZGA,2019-05-16 11:36:24 UTC,
radarpb,Bandido morre durante assalto e outro é preso na zona rural de Cajazeiras https://t.co/ryyI9WJFM2 https://t.co/5zxmaUylg5,2019-05-16 11:35:47 UTC,
BNews,Ladrão atira em turista durante assalto no hotel Iguatemi Business Flat, veja vídeo https://t.co/nDS4L9TLL2,2019-05-16 11:28:03 UTC
Jornal Correio,Hóspede é baleado durante assalto em hotel no Caminho das Árvores https://t.co/4bRzfxiPnk https://t.co/IpAJCn3EPj,2019-05-16 11:27:07 UTC,
FALA PARAÍBA,Portal Lucena Informa: Idoso mata suspeito de tentativa de assalto em Caj... https://t.co/9wuTaOXnZj,2019-05-16 10:52:35 UTC,
Léo Ferreira,Idoso mata suspeito de tentativa de assalto em Cajazeiras https://t.co/0YC1mLuYxm,2019-05-16 10:45:24 UTC,
Léo Ferreira,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa https://t.co/ydUCsNkJEj,2019-05-16 10:45:24 UTC,
Notícias do RJ,Um bandido morre e dois são presos durante assalto à filial das Lojas Americanas #RJ https://t.co/bb73VLchvc,2019-05-16 10:20:27 UTC,
ExpressoPB,Policial reage a suposto assalto e mata bandido em João Pessoa https://t.co/veFbPiHCyb https://t.co/1Wc0OI134f,2019-05-16 10:14:07 UTC,
Jornal Meia Hora,O caso aconteceu em um estabelecimento que fica na principal rua da Praça Seca. #MeiaHora https://t.co/xolwc0gvCT,2019-05-16 10:09:13 UTC,
Rogerio Cesar,"Em São Paulo, ladrões estão levando maquininha de cartão pra sacar na hora do assalto o dinheiro da vítima. É o cúmulo do absurdo.",2019-05-16 10:04:36 UTC,
F5 News,Ladrões roubam R$ 170 mil de homens durante assalto em Aracaju  https://t.co/iTpNoESJWK,2019-05-16 09:46:09 UTC,
Jornal O Dia,"Um bandido morre e dois são presos durante assalto à filial das Lojas Americanas

SAIBA + EM https://t.co/nLM1J8BP9l https://t.co/cP10TL8OYT",2019-05-16 09:32:40 UTC,
oblogdepianco.com.br,"O Blog de Piancó: Em Cajazeiras, Idoso reage a assalto e mata um dos... https://t.co/d4bVhIBdt6",2019-05-16 09:24:59 UTC,
DANIEL MATADOR,"QUE SATISFAÇÃO, ASPIRA!!!
Imigrante senegalês reage a assalto e mata meliante a facadas em Porto Alegre. https://t.co/WWBKsB2fGs",2019-05-16 09:21:00 UTC,
G1 Paraíba,"Suspeito é morto e PM fica ferido após troca de tiros em tentativa de assalto, em João Pessoa https://t.co/JZchZPNyWa",2019-05-16 09:10:29 UTC,
CAOS no RIO,🗞 Tentativa de assalto termina com um morto e dois presos na Praça Seca https://t.co/ddK9t76rZv,2019-05-16 07:01:26 UTC,
Indica Japão,"‘Me dê dinheiro, por favor’, voz de assalto na agência dos Correios https://t.co/0AWsbkThKy",2019-05-16 05:57:12 UTC,
